Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent in Matale,Matale,"Matale City, Matale",2,1,700.0 sqft,9.0 perches,"Rs 16,000"
Anex for Rent in Ampara,Ampara,Ampara Town,2,1,"1,000.0 sqft",8.1 perches,"Rs 20,000"
House for Rent in Gampaha,Gampaha,"Gampaha City, Gampaha",2,1,700.0 sqft,8.0 perches,"Rs 24,000"
House for Rent in Padawala,Ampara,"B Padawala,Ampara",2,1,"1,200.0 sqft",15.0 perches,"Rs 18,000"
House For Rent In Kurunegala,Kurunegala,10th Lane Maveedalupotha Yanthampalawa,3,2,"6,500.0 sqft",45.0 perches,"Rs 42,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,"1,000.0 sqft",11.0 perches,"Rs 25,000"
House Rent Colombo,Colombo,Arawwala,3,1,"1,000.0 sqft",6.0 perches,"Rs 40,000"
House for Rent in Nittambuwa,Gampaha,"Kalagedihena, Nittambuwa",3,2,"2,000.0 sqft",20.0 perches,"Rs 36,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,1,"2,400.0 sqft",24.0 perches,"Rs 33,000"
Upstair House - Rent In Gampaha,Gampaha,"211/B, Temple Road, Akarawita",2,1,"1,000.0 sqft",10.0 perches,"Rs 25,000"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,1,600.0 sqft,8.0 perches,"Rs 17,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,400.0 sqft",24.0 perches,"Rs 33,000"
House for Rent Thalduwa,Kegalle,"Yatiyanthota Road,Thalduwa",4,1,"2,500 sqft",15.0 perches,"Rs 30,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,2,"2,300.0 sqft",25.0 perches,"Rs 37,000"
